"species","Nhorm","Nnocon","LifeExpHormMean","LifeExpHormSE","LifeExpHormLower","LifeExpHormUpper","LifeExpNocontMean","LifeExpNocontSE","LifeExpNocontLower","LifeExpNocontUpper","PropHazMean","PropHazSE","PropHazLower","PropHazUpper"
"Saguinus bicolor",44,133,15.718652621809,4.54549352239179,10.2223496081001,27.8878114057212,9.58784896790265,1.52883406220587,7.37364367271805,13.3101932722446,-0.770488134049529,0.351440994647856,-1.47261217228135,-0.110819582318804
"Cebuella pygmaea",35,1073,7.59215177678496,1.29265935999332,5.40568000453378,10.4717927677967,6.44642556910685,0.225326742022561,6.03275119427476,6.90650321786434,-0.221849516914882,0.249812160785676,-0.737255080077185,0.246243548007454
"Sapajus xanthosternos",37,55,26.6160676721784,10.9779915920608,12.7737980268906,54.238225777761,21.3982675964735,7.82931666268602,11.6281007520767,41.0958977343794,-0.375973536381986,0.519728358747529,-1.40771827868125,0.613398838268954
"Mustela putorius",38,870,4.38675403506222,0.453460518887704,3.57874493272644,5.33910267415031,5.37597066064303,0.112865338097503,5.1629126639677,5.60229069712734,0.456885450955467,0.218962105346261,-0.00514212784601994,0.860102141203749
"Tapirus terrestris",35,308,16.0307306054471,5.16500174146906,10.4685601955608,28.575836404494,14.4941391839822,2.7936479362429,11.4567012726105,22.5875835694885,-0.211997098760162,0.420880031317836,-1.08064823783828,0.573239179012006
"Trachypithecus cristatus",30,36,19.5181966893383,8.81410625228682,9.18142848484235,43.1284311463884,14.0260045359321,4.84276712153991,7.89064582157963,26.1565917963402,-0.407885536985948,0.526050955853932,-1.45435082125303,0.574465963276104
"Macaca fascicularis",111,755,26.2774659380407,8.74546025726437,16.3876704422873,50.2566645390399,39.5996815148676,14.3191716224698,27.5957910040912,77.2105422043693,0.738634491278584,0.306165858989428,0.110456825390601,1.31298033321377
"Varecia rubra",70,352,30.4484560976906,12.4471107599252,16.3110924375861,63.3271610247326,21.8677338510859,5.64480800991912,14.4158046326266,35.3410535839188,-0.563732520409672,0.390209851948717,-1.37641313471022,0.1556793994137
"Pteropus rodricensis",102,666,13.9586502418303,3.04728938938046,9.95177061804813,21.639492780913,9.38785255710194,0.98702702308707,7.95046348364876,11.5732528565371,-0.562126275212902,0.213618366266801,-0.983652050796044,-0.15233837712532
"Saguinus oedipus",125,1144,10.592822451975,1.21961426037419,8.32584561003703,13.1526579663483,7.88232105951607,0.187365761467237,7.51297923574595,8.25101521929306,-0.46316181718011,0.203031257979893,-0.877458635711585,-0.0850917696943501
"Symphalangus syndactylus",33,106,33.004858376539,21.4790257117005,12.5249972868966,95.7510562677609,24.0733266704834,10.66370945288,12.2803517922844,51.760855594998,-0.511292468037005,0.699185286163184,-1.91917848696803,0.80255261936556
"Ailurus fulgens",55,763,8.85072517197027,0.960279558842648,7.14232837544108,10.8907969287239,9.98406863917544,0.400405993172054,9.28929179965493,10.8403903371806,0.255350715805155,0.233446717211784,-0.221119594560777,0.695330530516142
"Phacochoerus africanus",40,373,9.59427927016042,0.945488146152087,7.88596967605393,11.4760752964943,8.50509775476734,0.490702302894347,7.68430153584412,9.52280441309088,-0.354841345745432,0.321497446666068,-1.01768342161845,0.245936867126984
"Hydrochoerus hydrochaeris",33,2032,5.42594632453712,0.614412563742673,4.26456543017365,6.69432694995143,5.61698605180063,0.126805483940159,5.372010037202,5.87042098009077,0.076209755665463,0.245810560866165,-0.420226524125707,0.533951866016519
"Petrogale xanthopus",35,650,6.53314835805448,0.703300099938844,5.18760304097767,7.97470343613433,6.79965814894447,0.277734543201873,6.26351416729117,7.34683337840894,0.0991658703808198,0.270613840643268,-0.44562355778493,0.608224880363789
"Nasua nasua",33,1415,10.2810200944846,0.974859867322082,8.49966014230743,12.2967152517031,9.07468969917682,0.187335306695871,8.70556003628051,9.44448916044732,-0.331855506220524,0.271636585419829,-0.883409671348202,0.163067267277451
