"species","Female_None_Mean","Female_None_SE","Female_None_Lower","Female_None_Upper","Female_Hormonal_Mean","Female_Hormonal_SE","Female_Hormonal_Lower","Female_Hormonal_Upper","Female_Immunological_Mean","Female_Immunological_SE","Female_Immunological_Lower","Female_Immunological_Upper","Female_Surgical_Mean","Female_Surgical_SE","Female_Surgical_Lower","Female_Surgical_Upper","Female_Undetermined_Mean","Female_Undetermined_SE","Female_Undetermined_Lower","Female_Undetermined_Upper","Male_None_Mean","Male_None_SE","Male_None_Lower","Male_None_Upper","Male_Hormonal_Mean","Male_Hormonal_SE","Male_Hormonal_Lower","Male_Hormonal_Upper","Male_Immunological_Mean","Male_Immunological_SE","Male_Immunological_Lower","Male_Immunological_Upper","Male_Surgical_Mean","Male_Surgical_SE","Male_Surgical_Lower","Male_Surgical_Upper","Male_Undetermined_Mean","Male_Undetermined_SE","Male_Undetermined_Lower","Male_Undetermined_Upper"
"Bison bison",15.4824897323846,0.244495167433066,15.0085617883599,15.9762559951506,NA,NA,NA,NA,19.0175469410301,2.76156530829411,14.1996733360562,25.0910879142132,NA,NA,NA,NA,NA,NA,NA,NA,12.3029347962344,0.335136042356059,11.6760523424712,12.9904104654233,NA,NA,NA,NA,NA,NA,NA,NA,12.8885071856153,0.999862155825256,11.0357271916359,15.0220094364513,NA,NA,NA,NA
"Bos grunniens",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5816146498815,0.458961957348048,9.73294162207955,11.5324451729605,NA,NA,NA,NA,NA,NA,NA,NA,11.7986342238407,1.91192236202239,8.47044157833958,15.9987845435378,NA,NA,NA,NA
"Bos javanicus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6097665668987,0.479830866759884,9.75140136046208,11.6040323732478,NA,NA,NA,NA,NA,NA,NA,NA,8.66566920044496,1.68899332180459,5.89499076555167,12.3699404010698,NA,NA,NA,NA
"Bos taurus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6689165391457,0.338927918492799,10.013191673523,11.3451831168539,NA,NA,NA,NA,NA,NA,NA,NA,15.0015922842651,1.31432204435273,12.579323920077,17.7447480354136,14.3262609271367,2.57732307717733,10.0723406333662,20.0764897333086
"Boselaphus tragocamelus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.321945992343,0.548890592465293,9.29433662159637,11.4776006907924,NA,NA,NA,NA,NA,NA,NA,NA,9.62140115925308,1.58158318067137,7.0144567481024,13.2283737577027,NA,NA,NA,NA
"Bubalus bubalis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.1086610932317,0.670512793849482,8.84817826680012,11.498149641748,NA,NA,NA,NA,NA,NA,NA,NA,18.191142915432,2.29851569636493,13.8272737382277,22.7909566532761,NA,NA,NA,NA
"Callimico goeldii",9.42975200206861,0.28621552249154,8.89327958390422,10.0039313462018,8.76960821789137,1.39143991624485,6.39777007063675,11.8551094070812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Callithrix geoffroyi",6.2187299644647,0.220801987331581,5.80567806234797,6.67863372621862,5.80297234037386,0.721546201817555,4.50871345590905,7.33739357249446,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Callithrix jacchus",6.98753887935134,0.183764013449647,6.63412056406286,7.36425934709928,7.42807828470119,0.980746858873379,5.77413300990531,9.5798477394146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.80708565444637,0.175252930289467,7.46782717245264,8.15918757292393,NA,NA,NA,NA,NA,NA,NA,NA,11.2737390962463,1.42835428974399,8.81539416410881,14.4109887568435,NA,NA,NA,NA
"Camelus bactrianus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.932489484416,0.386983223201995,13.2073307948497,14.703857065409,NA,NA,NA,NA,NA,NA,NA,NA,12.1192521506917,1.11702336531592,10.0913593986615,14.4696316280889,NA,NA,NA,NA
"Camelus dromedarius",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.6259617832108,0.535831909807866,13.6327578964259,15.7074010751701,NA,NA,NA,NA,NA,NA,NA,NA,14.9967526215439,1.63192489450354,12.049917732283,18.4581731457364,NA,NA,NA,NA
"Canis latrans",9.24409176697298,0.464849190692926,8.31891236437818,10.1480998777795,NA,NA,NA,NA,NA,NA,NA,NA,11.7308001659044,1.10617846165121,9.65764819163028,13.967887196382,NA,NA,NA,NA,8.10600399360659,0.457699503491874,7.21544286530902,9.00647807205799,NA,NA,NA,NA,NA,NA,NA,NA,11.2622768559436,0.91913196433203,9.54039127922198,13.0975035917012,NA,NA,NA,NA
"Canis lupus",9.9071801522318,0.14316144074454,9.62268434937483,10.1864902465687,7.05415105032031,0.743608438655987,5.7631896276259,8.60634110467197,NA,NA,NA,NA,10.8981960838675,0.524415087040288,9.91260970792744,11.9409141601622,10.9383708462874,1.11602628975199,8.92753085014219,13.3032259073904,10.2887817424226,0.14053168178869,10.0188924625866,10.5657349016402,NA,NA,NA,NA,NA,NA,NA,NA,10.0777137023955,0.407472541544917,9.31531508820241,10.9087671888155,10.7170066323323,1.19067617867355,8.60230728709286,13.1526499124036
"Capra aegagrus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.63001359796902,0.352871366674553,6.97358517688289,8.35431996735402,NA,NA,NA,NA,NA,NA,NA,NA,10.342950957233,2.18282083281596,6.66840323052677,15.3046806397598,NA,NA,NA,NA
