species,Female_None_Mean,Female_None_SE,Female_None_Lower,Female_None_Upper,Female_Hormonal_Mean,Female_Hormonal_SE,Female_Hormonal_Lower,Female_Hormonal_Upper,Female_Immunological_Mean,Female_Immunological_SE,Female_Immunological_Lower,Female_Immunological_Upper,Female_Surgical_Mean,Female_Surgical_SE,Female_Surgical_Lower,Female_Surgical_Upper,Female_Undetermined_Mean,Female_Undetermined_SE,Female_Undetermined_Lower,Female_Undetermined_Upper,Male_None_Mean,Male_None_SE,Male_None_Lower,Male_None_Upper,Male_Hormonal_Mean,Male_Hormonal_SE,Male_Hormonal_Lower,Male_Hormonal_Upper,Male_Immunological_Mean,Male_Immunological_SE,Male_Immunological_Lower,Male_Immunological_Upper,Male_Surgical_Mean,Male_Surgical_SE,Male_Surgical_Lower,Male_Surgical_Upper,Male_Undetermined_Mean,Male_Undetermined_SE,Male_Undetermined_Lower,Male_Undetermined_Upper,Female.None,Female.Hormonal,Female.Immunological,Female.Surgical,Female.Undetermined,Male.None,Male.Hormonal,Male.Immunological,Male.Surgical,Male.Undetermined
Camelus dromedarius,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.62596178,0.53583191,13.6327579,15.70740108,NA,NA,NA,NA,NA,NA,NA,NA,14.99675262,1.631924895,12.04991773,18.45817315,NA,NA,NA,NA,0,0,0,0,0,1182,0,0,109,10
Canis latrans,9.244091767,0.464849191,8.318912364,10.14809988,NA,NA,NA,NA,NA,NA,NA,NA,11.73080017,1.106178462,9.657648192,13.9678872,NA,NA,NA,NA,8.106003994,0.457699503,7.215442865,9.006478072,NA,NA,NA,NA,NA,NA,NA,NA,11.26227686,0.919131964,9.540391279,13.09750359,NA,NA,NA,NA,485,4,0,39,7,529,0,0,64,10
Canis lupus,9.907180152,0.143161441,9.622684349,10.18649025,7.05415105,0.743608439,5.763189628,8.606341105,NA,NA,NA,NA,10.89819608,0.524415087,9.912609708,11.94091416,10.93837085,1.11602629,8.92753085,13.30322591,10.28878174,0.140531682,10.01889246,10.5657349,NA,NA,NA,NA,NA,NA,NA,NA,10.0777137,0.407472542,9.315315088,10.90876719,10.71700663,1.190676179,8.602307287,13.15264991,5012,130,0,331,59,5457,28,0,439,58
Capra aegagrus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.630013598,0.352871367,6.973585177,8.354319967,NA,NA,NA,NA,NA,NA,NA,NA,10.34295096,2.182820833,6.668403231,15.30468064,NA,NA,NA,NA,0,0,0,0,0,1107,0,0,42,0
Capra falconeri,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.912145489,0.243764331,6.456319787,7.400490557,NA,NA,NA,NA,NA,NA,NA,NA,7.413083092,1.118526188,5.436140842,9.853876917,NA,NA,NA,NA,0,0,0,0,0,1948,11,0,43,2
Capra hircus,9.326991274,0.066858864,9.198186853,9.45639122,8.426548154,1.257082988,6.28368514,11.24102954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.006659809,0.118336847,8.77928652,9.234406335,NA,NA,NA,NA,NA,NA,NA,NA,9.207235048,0.198659389,8.819764661,9.611793119,9.29517279,0.516942342,8.326181064,10.33220896,24855,44,8,25,10,17776,0,22,2384,375
Capra nubiana,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.24645833,0.242119528,6.786135976,7.738301804,NA,NA,NA,NA,NA,NA,NA,NA,8.857274054,1.097642762,6.930054673,11.22437401,NA,NA,NA,NA,0,0,0,0,0,2435,0,0,49,2
Carollia perspicillata,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.6666891,0.217517002,4.248730651,5.101133384,NA,NA,NA,NA,NA,NA,NA,NA,12.44541523,2.56697683,8.470617542,18.34083653,NA,NA,NA,NA,0,0,0,0,0,843,0,0,155,4
Cavia porcellus,4.345011591,0.056438033,4.235848068,4.457833102,NA,NA,NA,NA,NA,NA,NA,NA,3.408936692,0.400055322,2.694296881,4.265476454,NA,NA,NA,NA,3.912472443,0.088044596,3.743477629,4.084806967,NA,NA,NA,NA,NA,NA,NA,NA,4.351749161,0.324472255,3.74611225,5.026732923,NA,NA,NA,NA,3807,2,0,40,0,2057,0,0,151,10
Cebuella pygmaea,6.347507993,0.162773945,6.03559448,6.680220977,8.149053785,1.791241517,5.380104299,12.2100121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2304,34,0,5,22,0,0,0,0,0
