"species","Female.None","Female.Hormonal","Female.Immunological","Female.Surgical","Female.Undetermined","Male.None","Male.Hormonal","Male.Immunological","Male.Surgical","Male.Undetermined"
"Propithecus coquereli",42,41,0,0,0,0,0,0,0,0
"Pseudocheirus peregrinus",0,0,0,0,0,1317,0,0,33,1
"Pteropus rodricensis",1226,113,0,26,14,0,0,0,0,0
"Puma concolor",1265,11,0,82,28,1163,0,0,94,17
"Rangifer tarandus",0,0,0,0,0,3302,9,0,87,15
"Rattus norvegicus",2473,5,0,134,0,1435,0,0,158,2
"Rousettus aegyptiacus",0,0,0,0,0,1474,0,0,165,1
"Saguinus bicolor",206,54,0,6,10,0,0,0,0,0
"Saguinus imperator",1023,76,2,14,17,1222,30,0,4,7
"Saguinus oedipus",2958,172,1,27,94,3490,30,0,97,16
"Saimiri boliviensis",1801,40,0,17,34,1598,16,0,115,49
"Saimiri sciureus",3541,60,3,31,6,3099,0,0,119,0
"Sapajus apella",1524,39,0,26,15,1781,12,0,103,11
"Sapajus xanthosternos",80,52,0,2,3,173,10,0,47,0
"Suricata suricatta",5887,209,1,76,51,6746,45,2,261,58
"Sus scrofa",7430,23,0,64,2,5590,8,15,704,107
"Symphalangus syndactylus",364,74,0,6,24,0,0,0,0,0
"Tapirus terrestris",724,47,7,1,9,817,14,17,52,2
"Theropithecus gelada",344,38,0,4,1,0,0,0,0,0
"Trachypithecus auratus",441,31,0,6,17,0,0,0,0,0
"Trachypithecus cristatus",187,31,0,6,4,0,0,0,0,0
"Trachypithecus francoisi",145,40,0,3,22,0,0,0,0,0
"Tragelaphus angasii",0,0,0,0,0,2219,4,4,32,0
"Tragelaphus oryx",0,0,0,0,0,4043,0,2,166,17
"Tragelaphus strepsiceros",2217,34,8,2,15,1982,2,1,52,5
"Ursus americanus",0,0,0,0,0,700,1,0,91,19
"Ursus arctos",0,0,0,0,0,1305,2,0,142,22
"Varecia rubra",724,108,0,15,45,0,0,0,0,0
"Varecia variegata",1419,91,0,24,59,1913,9,0,60,21
"Vicugna pacos",0,0,0,0,0,2431,0,1,202,32
"Vicugna vicugna",0,0,0,0,0,452,3,0,36,2
"Vulpes lagopus",0,0,0,0,0,721,9,0,38,9
"Vulpes vulpes",1180,5,0,35,12,1278,0,0,89,9
"Vulpes zerda",0,0,0,0,0,960,8,0,39,4
"Wallabia bicolor",0,0,0,0,0,941,4,0,80,12
"Zalophus californianus",1316,35,3,2,11,1114,14,3,47,13
